,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
258,Kathmandu,Kapan,South,7,5,2,22.0,13.0,342.24,38000000.0
260,Kathmandu,Jorpati,North,7,4,2,22.0,13.0,1026.72,26500000.0
262,Kathmandu,Sitapaila,North,5,4,2,22.0,26.0,1368.96,25000000.0
264,Kathmandu,Sukedhara,East,5,4,1,170.0,14.0,2395.68,60000000.0
266,Kathmandu,Kapan,South East,5,5,2,85.0,11.0,342.24,39500000.0
268,Kathmandu,Near Amar International Hotel,North,8-12,3,1,850.0,12.0,598.92,60000000.0
270,Kathmandu,Dharma Chakra Galli East Last Electric Poll.,South,8-12,2,5+,22.0,4.0,64.17,20000000.0
272,Kathmandu,Specail Chauk,South East,4,2,2,170.0,12.0,342.24,27500000.0
274,Kathmandu,"Pasikot, Budhanilkantha",West,6,5,1,425.0,13.0,21.39,68000000.0
276,Kathmandu,Bhangal,East,6,4,1,170.0,20.0,1711.2,39500000.0
278,Kathmandu,"Rudreshwor, Budhanilkantha",East,5,5,2,850.0,13.0,5818.08,115000000.0
280,Kathmandu,"Deuba Chowk, Budhanilkantha",South East,5,6,2,22.0,14.0,342.24,38000000.0
282,Kathmandu,"Rudreshwor, Budhanilkantha",North East,4,5,1,22.0,13.0,2395.68,50000000.0
284,Kathmandu,"Golfutar, Budhanilkantha",East,4,4,1,170.0,13.0,149.73,48000000.0
286,Kathmandu,"Manbhaban, Lalitpur",South West,5,4,2,425.0,13.0,5475.84,144000000.0
288,Kathmandu,"Ganesh Chock, Budhanilkantha",West,6,6,1,22.0,16.0,21.39,32500000.0
290,Kathmandu,"Ganesh Chock, Budhanilkantha",West,6,6,2,22.0,13.0,21.39,43500000.0
292,Kathmandu,"Chappalkarkhana, Budhanilkantha",South East,1,1,1,22.0,20.0,6502.56,150000000.0
294,Kathmandu,"Golfutar, Budhanilkantha",South,1,1,1,170.0,13.0,3422.4,70000000.0
296,Kathmandu,"Nepal Medical College, Janasagar Chowk",East,8-12,4,2,170.0,10.0,1368.96,30000000.0
298,Kathmandu,Pabitra Tole,East,5,2,2,85.0,10.0,21.39,19000000.0
300,Kathmandu,Pabitra Basti,East,5,2,2,85.0,10.0,21.39,19000000.0
302,Kathmandu,Dhungedhara,East,7,7,3,425.0,,513.36,24500000.0
304,Kathmandu,Near Balkhu Exam Office,East,8-12,4,1,22.0,,1368.96,50000000.0
306,Kathmandu,Harhar Mahadev,West,7,8-10,2,170.0,13.0,1368.96,38000000.0
308,Kathmandu,Bashundhara,North East,8-12,4,1,22.0,20.0,21.39,22500000.0
310,Kathmandu,"Lolang,  Tarkeshwor, Kathmandu",North West,8-12,6,1,85.0,12.0,1540.08,27000000.0
